name,val,group,cread,cwrite,cdesc,iread,iwrite,idesc,type,dim,min,max,special range
ParameterIdCustomerSettingsUserValue5,0x40000505,FactorySettingsDefault,x,x,user value 5,,,,char,1,,,
ParameterIdCustomerSettingsUserValue6,0x40000506,FactorySettingsDefault,x,x,user value 6,,,,char,1,,,
ParameterIdCustomerSettingsUserValue7,0x40000507,FactorySettingsDefault,x,x,user value 7,,,,char,1,,,
ParameterIdCustomerSettingsUserValue8,0x40000508,FactorySettingsDefault,x,x,user value 8,,,,char,1,,,
ParameterIdCustomerSettingsUserValue9,0x40000509,FactorySettingsDefault,x,x,user value 9,,,,char,1,,,
ParameterIdCustomerSettingsUserValue10,0x4000050A,FactorySettingsDefault,x,x,user value 10,,,,char,1,,,
ParameterIdCustomerSettingsUserValue11,0x4000050B,FactorySettingsDefault,x,x,user value 11,,,,char,1,,,
ParameterIdCustomerSettingsUserValue12,0x4000050C,FactorySettingsDefault,x,x,user value 12,,,,char,1,,,
ParameterIdCustomerSettingsUserValue13,0x4000050D,FactorySettingsDefault,x,x,user value 13,,,,char,1,,,
ParameterIdCustomerSettingsUserValue14,0x4000050E,FactorySettingsDefault,x,x,user value 14,,,,char,1,,,
ParameterIdCustomerSettingsUserValue15,0x4000050F,FactorySettingsDefault,x,x,user value 15,,,,char,1,,,
ParameterIdCustomerSettingsUserValue16,0x40000510,FactorySettingsDefault,x,x,user value 16,,,,char,1,,,
ParameterIdCustomerSettingsSdkEnabledFeatures,0x40000511,FactorySettingsDefault,x,,list of enabled SDK features,,,,char,1,,,
ParameterIdCustomerSettingsAppEnabledFeatures,0x40000512,FactorySettingsDefault,x,,list of enabled APP features,,,,char,1,,,
ParameterIdEndMarker,0x7FFFFFFF,FactorySettingsDefault,,  ,,,,,,,,,
